"","Koa root","Olapa root","Grass root","Ohia root","Kolea root","Akala root","Soil"
"ASV1284",3,0,4,0,9,0,0
"ASV1285",7,0,0,0,0,0,74
"ASV1286",0,2,0,0,0,0,0
"ASV129",0,0,0,0,0,20,0
"ASV1290",0,0,0,0,1,0,0
"ASV1300",0,0,0,0,8,0,0
"ASV1301",0,0,6,0,0,0,0
"ASV1302",5,0,0,0,0,0,0
"ASV1303",17,40,85,88,13,32,518
"ASV1304",3,0,0,0,0,0,0
"ASV1305",0,0,3,0,0,0,0
"ASV1306",3,0,0,0,0,0,0
"ASV1309",0,0,1,0,0,0,0
"ASV1310",0,0,0,0,0,3,0
"ASV1311",0,6,0,0,0,0,0
"ASV1312",0,0,0,0,0,2,0
"ASV1313",51,146,234,293,249,63,1980
"ASV1314",0,2,0,0,0,0,0
"ASV1319",0,0,9,0,0,0,0
"ASV132",0,0,0,0,0,2,0
"ASV1322",0,0,0,83,10,0,104
"ASV1323",0,0,0,0,16,0,0
"ASV1324",0,0,4,91,11,0,193
"ASV1325",0,5,0,0,0,0,0
"ASV1326",0,0,0,0,19,0,0
"ASV1328",0,0,0,0,0,0,24
"ASV1329",3,0,0,0,0,0,144
"ASV133",0,0,0,0,0,0,7
"ASV1330",0,0,0,0,4,0,94
"ASV1333",0,0,0,0,4,0,0
"ASV1335",0,0,0,0,0,0,4
"ASV1336",11,13,0,0,12,4,1179
"ASV1337",0,0,0,0,0,0,2
"ASV1338",0,0,0,7,0,0,0
"ASV134",0,0,0,0,0,0,18
"ASV1340",0,0,0,2,0,0,0
"ASV1349",0,0,0,0,4,0,0
"ASV135",0,0,0,0,10,0,20
"ASV1351",11,0,7,0,0,3,35
"ASV1352",0,0,0,0,0,0,3
"ASV1356",0,0,0,0,0,0,82
"ASV1357",0,0,0,0,0,0,9
"ASV1358",0,0,0,0,12,0,0
"ASV136",0,0,0,0,8,0,72
"ASV1361",0,0,0,0,0,0,9
"ASV1362",0,0,0,0,0,0,5
"ASV1364",0,0,0,0,0,0,114
"ASV1365",0,0,0,0,0,0,2
"ASV1366",0,0,0,0,0,0,131
"ASV1367",0,0,0,0,0,0,240
"ASV1369",0,0,3,0,0,0,0
"ASV137",24,0,0,94,0,10,211
"ASV1371",0,0,4,0,0,0,628
"ASV1372",0,0,0,0,15,0,0
"ASV1374",0,0,0,0,0,0,111
"ASV1384",0,0,0,5,0,0,0
"ASV1386",1,0,0,0,0,0,0
"ASV1388",0,0,0,0,10,0,0
"ASV1389",88,0,0,0,0,0,0
"ASV139",0,0,0,21,0,0,21
"ASV1390",135,0,0,0,0,0,0
