"","AK","RO"
"Acaulosporaceae",0.09,0.19
"Ambisporaceae",0.09,0.1
"Archaeosporaceae",1.39,0.86
"Claroideoglomeraceae",0.18,0.19
"Gigasporaceae",0.09,0.1
"Glomeraceae",2.22,1.24
"Glomeromycotina",0.65,0.86
"Paraglomeraceae",0.09,0.1
